pair,signal_bar,float_pct,tp_pct,sl_pct,ret_0bp,mdd_0bp,ret_10bp,mdd_10bp,ret_30bp,mdd_30bp,ret_50bp,mdd_50bp,pass_30bp,mode,win_rate_pct,max_dd_pct,profit_factor,trades,y2024_pnl_pct,y2025_pnl_pct,y2026_pnl_pct,total_return_pct_te,max_dd_pct_te,win_rate_pct_te,trades_te,pf
SOL-USDT-SWAP,6H,0.005,0.008,0.03,720956.1,31.0,529646.0,32.0,144398.2,68.1,-100.0,100.0,,fade,84.46,32.0,2.474,1886,144242.45,191.61,25.85,58387.05,42.09,81.59,429,2.474
SOL-USDT-SWAP,6H,0.01,0.01,0.03,639645.8,35.2,506041.6,36.8,238639.4,40.0,-99.4,100.0,,fade,82.71,36.85,2.741,1319,153195.65,159.7,27.14,54857.35,53.76,80.77,286,2.741
SOL-USDT-SWAP,6H,0.005,0.006,0.03,611272.1,31.0,420275.7,32.0,34455.3,73.1,-100.0,100.0,,fade,91.78,32.0,2.839,1886,114686.22,183.96,28.97,45258.43,39.03,90.44,429,2.839
ETH-USDT-SWAP,6H,0.007,0.01,0.025,533501.9,31.5,386020.2,39.5,74128.9,94.5,-100.0,100.0,,fade,78.35,39.54,1.995,1446,98195.57,199.23,31.28,39690.86,52.92,79.03,329,1.995
ETH-USDT-SWAP,4H,0.01,0.01,0.03,461903.1,36.7,322686.6,39.3,414.2,96.8,-100.0,100.0,,fade,74.67,39.29,1.921,1354,66226.42,256.86,36.38,34861.69,51.29,75.0,308,1.921
ETH-USDT-SWAP,4H,0.01,0.01,0.025,457906.6,32.1,319139.4,33.8,536.7,98.4,-100.0,100.0,,fade,74.15,33.79,1.909,1354,66369.84,240.49,41.06,44331.54,43.86,75.0,308,1.909
ETH-USDT-SWAP,4H,0.01,0.008,0.025,434726.1,32.1,296210.6,34.5,194.3,98.1,-100.0,100.0,,fade,81.02,34.53,2.051,1354,57706.39,281.86,34.24,26955.44,43.51,79.87,308,2.051
ETH-USDT-SWAP,6H,0.007,0.008,0.025,353278.3,30.9,245179.6,38.8,1916.7,96.5,-100.0,100.0,,reversal,85.91,38.79,2.149,1043,38993.98,331.27,45.48,28787.44,52.92,88.65,229,2.149
ETH-USDT-SWAP,6H,0.003,0.01,0.03,251104.9,33.6,179456.1,36.0,21348.6,88.4,-100.0,100.0,True,trend,75.325,36.027,2.359,693,24353.66,385.25,51.32,19071.049,37.351,74.419,172,2.359
ETH-USDT-SWAP,6H,0.003,0.008,0.03,247789.6,33.2,176360.9,34.9,23561.8,84.6,-100.0,100.0,True,trend,82.684,34.894,2.903,693,22157.78,403.22,57.55,24619.97,32.3,85.465,172,2.903
ETH-USDT-SWAP,6H,0.004,0.008,0.03,225943.7,32.6,161625.9,34.2,21178.7,82.1,-99.9,99.9,True,trend,83.596,34.213,2.952,634,18798.6,433.97,60.26,22575.598,28.287,87.261,157,2.952
ETH-USDT-SWAP,6H,0.004,0.01,0.03,226468.2,32.6,161039.5,34.2,14548.0,87.7,-100.0,100.0,True,trend,75.552,34.213,2.287,634,26810.75,290.29,53.42,13429.459,46.383,75.796,157,2.287
ETH-USDT-SWAP,6H,0.005,0.012,0.03,219716.0,31.9,160173.0,33.5,22083.0,88.4,-99.8,99.9,True,trend,71.157,33.53,2.172,579,27937.41,267.62,55.5,15468.595,39.033,73.759,141,2.172
ETH-USDT-SWAP,6H,0.005,0.01,0.03,214050.3,31.9,154545.0,33.5,20344.3,89.3,-99.9,99.9,True,trend,76.684,33.53,2.31,579,28239.37,251.3,55.34,14163.426,40.214,81.56,141,2.31
ETH-USDT-SWAP,6H,0.002,0.006,0.03,229125.9,31.3,151185.8,32.3,779.0,77.0,-100.0,100.0,True,trend,88.817,32.3,3.499,769,11637.48,721.08,56.98,14467.887,32.0,89.796,196,3.499
ETH-USDT-SWAP,6H,0.003,0.006,0.03,221825.5,33.2,150941.7,34.9,4742.1,75.6,-100.0,100.0,True,trend,91.053,34.894,4.104,693,16299.2,483.57,57.83,16829.477,26.829,92.442,172,4.104
ETH-USDT-SWAP,6H,0.005,0.008,0.03,204000.2,31.9,145043.0,33.5,16501.4,79.2,-99.9,99.9,True,trend,83.938,33.53,2.825,579,17275.48,444.91,53.3,9484.867,44.852,87.943,141,2.825
