pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,30m,4H,0.001,0.006,0.005,140.0,0.0,-100.0,1076,471,605,43.773,100.0,0.418,-4.104,4388,1.34,-99.04,0.0,-99.94,0.0,-95.78
BTC-USDT-SWAP,30m,4H,0.001,0.006,0.008,140.0,0.001,-99.999,1076,539,537,50.093,99.999,0.527,-4.104,4388,3.52,-97.49,0.0,-99.86,0.0,-83.07
BTC-USDT-SWAP,30m,4H,0.001,0.006,0.01,140.0,0.002,-99.999,1076,556,520,51.673,99.999,0.596,-4.104,4388,4.36,-96.89,0.01,-99.82,0.0,-79.22
BTC-USDT-SWAP,30m,4H,0.001,0.006,0.015,140.0,0.007,-99.995,1076,575,501,53.439,99.996,0.687,-4.104,4388,9.98,-92.87,0.04,-99.57,0.01,-84.59
BTC-USDT-SWAP,30m,4H,0.001,0.006,0.02,140.0,0.029,-99.98,1076,586,490,54.461,99.988,0.762,-4.103,4388,20.96,-85.03,0.1,-99.5,0.03,-72.66
BTC-USDT-SWAP,30m,4H,0.001,0.008,0.005,140.0,0.0,-100.0,1076,397,679,36.896,100.0,0.447,-4.104,4388,0.74,-99.47,0.0,-99.99,0.0,-95.38
BTC-USDT-SWAP,30m,4H,0.001,0.008,0.008,140.0,0.0,-100.0,1076,458,618,42.565,100.0,0.553,-4.104,4388,1.31,-99.06,0.0,-99.98,0.0,-79.08
BTC-USDT-SWAP,30m,4H,0.001,0.008,0.01,140.0,0.0,-100.0,1076,473,603,43.959,100.0,0.629,-4.104,4388,1.44,-98.97,0.0,-99.98,0.0,-81.29
BTC-USDT-SWAP,30m,4H,0.001,0.008,0.015,140.0,0.0,-100.0,1076,487,589,45.26,100.0,0.681,-4.104,4388,3.16,-97.74,0.0,-99.98,0.0,-84.21
BTC-USDT-SWAP,30m,4H,0.001,0.008,0.02,140.0,0.0,-100.0,1076,495,581,46.004,100.0,0.665,-4.104,4388,3.45,-97.53,0.0,-99.98,0.0,-68.57
BTC-USDT-SWAP,30m,4H,0.001,0.01,0.005,140.0,0.0,-100.0,1076,355,721,32.993,100.0,0.456,-4.104,4388,0.43,-99.69,0.0,-100.0,0.0,-97.2
BTC-USDT-SWAP,30m,4H,0.001,0.01,0.008,140.0,0.0,-100.0,1076,408,668,37.918,100.0,0.573,-4.104,4388,0.87,-99.38,0.0,-99.99,0.0,-94.26
BTC-USDT-SWAP,30m,4H,0.001,0.01,0.01,140.0,0.0,-100.0,1076,424,652,39.405,100.0,0.655,-4.104,4388,1.23,-99.12,0.0,-100.0,0.0,-94.86
BTC-USDT-SWAP,30m,4H,0.001,0.01,0.015,140.0,0.0,-100.0,1076,435,641,40.428,100.0,0.681,-4.104,4388,1.92,-98.63,0.0,-100.0,0.0,-96.19
BTC-USDT-SWAP,30m,4H,0.001,0.01,0.02,140.0,0.0,-100.0,1076,441,635,40.985,100.0,0.649,-4.104,4388,1.6,-98.86,0.0,-100.0,0.0,-92.63
BTC-USDT-SWAP,30m,4H,0.001,0.015,0.005,140.0,0.0,-100.0,1076,308,768,28.625,100.0,0.429,-4.104,4388,0.09,-99.94,0.0,-100.0,0.0,-98.04
BTC-USDT-SWAP,30m,4H,0.001,0.015,0.008,140.0,0.0,-100.0,1076,350,726,32.528,100.0,0.458,-4.104,4388,0.08,-99.94,0.0,-100.0,0.0,-95.74
BTC-USDT-SWAP,30m,4H,0.001,0.015,0.01,140.0,0.0,-100.0,1076,361,715,33.55,100.0,0.426,-4.104,4388,0.05,-99.97,0.0,-100.0,0.0,-96.07
BTC-USDT-SWAP,30m,4H,0.001,0.015,0.015,140.0,0.0,-100.0,1076,372,704,34.572,100.0,0.49,-4.104,4388,0.08,-99.94,0.0,-100.0,0.0,-96.67
BTC-USDT-SWAP,30m,4H,0.001,0.015,0.02,140.0,0.0,-100.0,1076,377,699,35.037,100.0,0.464,-4.104,4388,0.07,-99.95,0.0,-100.0,0.0,-94.14
BTC-USDT-SWAP,30m,4H,0.001,0.02,0.005,140.0,0.0,-100.0,1076,296,780,27.509,100.0,0.472,-4.104,4388,0.07,-99.95,0.0,-100.0,0.0,-99.47
