pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals
BTC-USDT-SWAP,5m,15m,0.0015,0.008,0.006,300.0,0,-100.0,27,6,21,22.222,105.0,0.286,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.008,0.01,300.0,0,-100.0,10,0,10,0.0,110.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.008,0.015,300.0,0,-100.0,7,0,7,0.0,112.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.015,0.006,300.0,0,-100.0,27,4,23,14.815,105.0,0.348,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.015,0.01,300.0,0,-100.0,10,0,10,0.0,110.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.015,0.015,300.0,0,-100.0,7,0,7,0.0,112.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.025,0.006,300.0,0,-100.0,90,17,73,18.889,101.648,0.798,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.025,0.01,300.0,0,-100.0,10,0,10,0.0,110.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.0015,0.025,0.015,300.0,0,-100.0,7,0,7,0.0,112.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.002,0.008,0.006,300.0,0,-100.0,17,1,16,5.882,105.0,0.063,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.002,0.008,0.01,300.0,0,-100.0,10,0,10,0.0,110.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.002,0.008,0.015,300.0,0,-100.0,7,0,7,0.0,112.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.002,0.015,0.006,300.0,0,-100.0,15,0,15,0.0,105.0,0.0,-4.11,70100
BTC-USDT-SWAP,5m,15m,0.002,0.015,0.01,300.0,0,-100.0,10,0,10,0.0,110.0,0.0,-4.11,70100
