pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals
SOL-USDT-SWAP,30m,4H,0.001,0.006,0.005,300.0,891.0,197.0,4250,2354,1896,55.388,59.959,1.035,8.085,4388
SOL-USDT-SWAP,30m,4H,0.001,0.006,0.008,300.0,4644.0,1448.0,4250,2939,1311,69.153,16.447,1.245,59.425,4388
SOL-USDT-SWAP,30m,4H,0.001,0.006,0.01,300.0,6471.0,2057.0,4250,3179,1071,74.8,15.814,1.349,84.419,4388
SOL-USDT-SWAP,30m,4H,0.001,0.006,0.015,300.0,10030.5,3243.5,4250,3547,703,83.459,19.111,1.577,133.112,4388
SOL-USDT-SWAP,30m,4H,0.001,0.006,0.02,300.0,12519.0,4073.0,4250,3746,504,88.141,14.222,1.77,167.155,4388
SOL-USDT-SWAP,30m,4H,0.001,0.008,0.005,300.0,1518.0,406.0,4250,2024,2226,47.624,47.34,1.061,16.662,4388
SOL-USDT-SWAP,30m,4H,0.001,0.008,0.008,300.0,5205.0,1635.0,4250,2595,1655,61.059,23.654,1.22,67.1,4388
SOL-USDT-SWAP,30m,4H,0.001,0.008,0.01,300.0,6612.0,2104.0,4250,2831,1419,66.612,14.778,1.27,86.347,4388
SOL-USDT-SWAP,30m,4H,0.001,0.008,0.015,300.0,9321.0,3007.0,4250,3218,1032,75.718,26.0,1.364,123.406,4388
SOL-USDT-SWAP,30m,4H,0.001,0.008,0.02,300.0,11325.0,3675.0,4250,3450,800,81.176,24.5,1.438,150.821,4388
SOL-USDT-SWAP,30m,4H,0.001,0.01,0.005,300.0,885.0,195.0,4250,1726,2524,40.612,80.707,1.026,8.003,4388
SOL-USDT-SWAP,30m,4H,0.001,0.01,0.008,300.0,3945.0,1215.0,4250,2260,1990,53.176,33.697,1.136,49.863,4388
SOL-USDT-SWAP,30m,4H,0.001,0.01,0.01,300.0,5235.0,1645.0,4250,2502,1748,58.871,20.5,1.171,67.51,4388
SOL-USDT-SWAP,30m,4H,0.001,0.01,0.015,300.0,7875.0,2525.0,4250,2922,1328,68.753,22.772,1.238,103.625,4388
SOL-USDT-SWAP,30m,4H,0.001,0.01,0.02,300.0,10560.0,3420.0,4250,3203,1047,75.365,19.5,1.311,140.356,4388
SOL-USDT-SWAP,30m,4H,0.001,0.015,0.005,300.0,0,-100.0,531,149,382,28.06,101.657,0.91,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.015,0.008,300.0,1333.5,344.5,4250,1693,2557,39.835,54.735,1.03,14.138,4388
SOL-USDT-SWAP,30m,4H,0.001,0.015,0.01,300.0,1875.0,525.0,4250,1912,2338,44.988,41.024,1.041,21.546,4388
SOL-USDT-SWAP,30m,4H,0.001,0.015,0.015,300.0,3799.829,1166.61,4250,2344,1906,55.153,31.734,1.077,47.877,4388
SOL-USDT-SWAP,30m,4H,0.001,0.015,0.02,300.0,6784.829,2161.61,4250,2673,1577,62.894,27.237,1.131,88.712,4388
SOL-USDT-SWAP,30m,4H,0.001,0.02,0.005,300.0,0,-100.0,292,62,230,21.233,101.0,0.854,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.02,0.008,300.0,0,-100.0,452,138,314,30.531,101.026,0.928,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.02,0.01,300.0,0,-100.0,1243,449,794,36.122,100.52,0.977,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.02,0.015,300.0,0,-100.0,1339,606,733,45.258,101.802,0.982,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.02,0.02,300.0,0,-100.0,1783,931,852,52.215,100.277,0.989,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.005,300.0,0,-100.0,57,4,53,7.018,101.0,0.365,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.008,300.0,0,-100.0,436,98,338,22.477,100.0,0.934,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.01,300.0,0,-100.0,691,185,506,26.773,100.142,0.964,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.015,300.0,0,-100.0,58,16,42,27.586,102.524,0.69,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.001,0.03,0.02,300.0,0,-100.0,67,24,43,35.821,101.733,0.771,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.005,300.0,1692.0,464.0,4249,2402,1847,56.531,34.953,1.084,19.042,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.008,300.0,5119.5,1606.5,4249,2961,1288,69.687,16.667,1.277,65.93,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.01,300.0,7015.5,2238.5,4249,3201,1048,75.335,12.121,1.388,91.867,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.015,300.0,10369.5,3356.5,4249,3557,692,83.714,14.179,1.606,137.75,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.006,0.02,300.0,12979.5,4226.5,4249,3757,492,88.421,10.875,1.818,173.454,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.005,300.0,2794.5,831.5,4249,2089,2160,49.165,26.357,1.128,34.124,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.008,300.0,5770.5,1823.5,4249,2618,1631,61.614,23.654,1.248,74.836,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.01,300.0,7357.5,2352.5,4249,2858,1391,67.263,14.918,1.307,96.546,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.015,300.0,10311.0,3337.0,4249,3246,1003,76.394,19.34,1.416,136.949,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.02,300.0,12868.5,4189.5,4249,3486,763,82.043,13.527,1.523,171.936,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.005,300.0,2109.0,603.0,4249,1780,2469,41.892,44.536,1.081,24.747,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.008,300.0,4822.5,1507.5,4249,2292,1957,53.942,30.988,1.171,61.867,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.01,300.0,6001.5,1900.5,4249,2527,1722,59.473,20.5,1.201,77.996,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.015,300.0,8836.5,2845.5,4249,2947,1302,69.357,22.772,1.273,116.778,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.02,300.0,12076.5,3925.5,4249,3236,1013,76.159,19.5,1.369,161.101,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.005,300.0,0,-100.0,2594,768,1826,29.607,100.889,0.981,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.008,300.0,2140.5,613.5,4249,1716,2533,40.386,44.624,1.054,25.178,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.01,300.0,2379.0,693.0,4249,1925,2324,45.305,33.355,1.054,28.44,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.015,300.0,4454.579,1384.86,4249,2358,1891,55.495,29.861,1.092,56.834,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.02,300.0,7552.079,2417.36,4249,2687,1562,63.238,27.963,1.147,99.208,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.005,300.0,0,-100.0,426,94,332,22.066,102.182,0.897,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.008,300.0,0,-100.0,461,141,320,30.586,100.211,0.93,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.01,300.0,0,-100.0,1374,497,877,36.172,100.628,0.979,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.015,300.0,0,-100.0,1374,622,752,45.269,101.887,0.982,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.02,300.0,0,-100.0,2425,1268,1157,52.289,100.427,0.992,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.005,300.0,0,-100.0,63,5,58,7.937,101.5,0.417,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.008,300.0,0,-100.0,445,100,345,22.472,101.232,0.934,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.01,300.0,0,-100.0,699,187,512,26.753,101.208,0.963,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.015,300.0,0,-100.0,58,16,42,27.586,102.524,0.69,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.02,300.0,0,-100.0,698,289,409,41.404,100.643,0.976,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.005,300.0,1818.0,506.0,4246,2408,1838,56.712,29.767,1.092,20.766,4388
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.008,300.0,5181.0,1627.0,4246,2962,1284,69.76,15.261,1.282,66.772,4388
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.01,300.0,7425.0,2375.0,4246,3216,1030,75.742,12.977,1.419,97.469,4388
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.015,300.0,10914.0,3538.0,4246,3572,674,84.126,20.149,1.656,145.198,4388
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.02,300.0,13386.0,4362.0,4246,3765,481,88.672,14.145,1.864,179.015,4388
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.005,300.0,3250.5,983.5,4246,2111,2135,49.717,22.381,1.154,40.363,4388
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.008,300.0,6411.0,2037.0,4246,2643,1603,62.247,16.504,1.282,83.598,4388
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.01,300.0,8325.0,2675.0,4246,2892,1354,68.111,12.36,1.359,109.781,4388
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.015,300.0,11694.0,3798.0,4246,3284,962,77.343,19.34,1.494,155.869,4388
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.02,300.0,14475.0,4725.0,4246,3522,724,82.949,14.094,1.622,193.912,4388
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.005,300.0,2631.0,777.0,4246,1802,2444,42.44,30.695,1.106,31.888,4388
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.008,300.0,5511.0,1737.0,4246,2316,1930,54.545,23.108,1.2,71.286,4388
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.01,300.0,6801.0,2167.0,4246,2552,1694,60.104,15.707,1.233,88.933,4388
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.015,300.0,9808.5,3169.5,4246,2971,1275,69.972,22.772,1.311,130.075,4388
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.02,300.0,12531.0,4077.0,4246,3244,1002,76.401,19.5,1.388,167.319,4388
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.005,300.0,0,-100.0,3954,1176,2778,29.742,100.613,0.988,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.008,300.0,2112.0,604.0,4246,1714,2532,40.367,38.621,1.053,24.788,4388
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.01,300.0,2766.0,822.0,4246,1934,2312,45.549,35.287,1.065,33.735,4388
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.015,300.0,4977.329,1559.11,4246,2368,1878,55.77,44.516,1.104,63.985,4388
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.02,300.0,7804.829,2501.61,4246,2690,1556,63.354,31.266,1.153,102.665,4388
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.005,300.0,0,-100.0,509,114,395,22.397,101.242,0.914,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.008,300.0,0,-100.0,2393,762,1631,31.843,100.176,0.986,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.01,300.0,0,-100.0,2370,862,1508,36.371,101.529,0.987,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.015,300.0,0,-100.0,2465,1121,1344,45.477,100.5,0.99,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.02,300.0,1759.829,486.61,4246,2253,1993,53.062,99.032,1.023,19.97,4388
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.005,300.0,0,-100.0,75,7,68,9.333,102.242,0.498,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.008,300.0,0,-100.0,73,12,61,16.438,100.364,0.634,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.01,300.0,0,-100.0,695,186,509,26.763,100.637,0.963,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.015,300.0,0,-100.0,55,15,40,27.273,101.577,0.68,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.02,300.0,0,-100.0,701,290,411,41.369,101.622,0.974,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.005,300.0,1170.0,290.0,4241,2366,1875,55.789,43.007,1.052,11.902,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.008,300.0,5143.5,1614.5,4241,2957,1284,69.724,16.551,1.279,66.259,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.01,300.0,7243.5,2314.5,4241,3205,1036,75.572,13.821,1.406,94.986,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.015,300.0,10971.0,3557.0,4241,3570,671,84.178,19.111,1.663,145.978,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.02,300.0,13153.5,4284.5,4241,3755,486,88.54,14.222,1.84,175.834,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.005,300.0,2944.5,881.5,4241,2093,2148,49.352,21.352,1.137,36.176,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.008,300.0,6694.5,2131.5,4241,2652,1589,62.532,12.894,1.298,87.476,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.01,300.0,8488.5,2729.5,4241,2895,1346,68.262,11.834,1.369,112.018,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.015,300.0,11883.0,3861.0,4241,3286,955,77.482,17.544,1.505,158.454,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.02,300.0,14716.5,4805.5,4241,3524,717,83.094,12.883,1.638,197.216,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.005,300.0,2406.0,702.0,4241,1790,2451,42.207,24.548,1.095,28.81,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.008,300.0,5875.5,1858.5,4241,2327,1914,54.869,17.397,1.216,76.272,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.01,300.0,7093.5,2264.5,4241,2559,1682,60.34,18.053,1.245,92.934,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.015,300.0,10041.0,3247.0,4241,2974,1267,70.125,22.772,1.32,133.256,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.02,300.0,12778.5,4159.5,4241,3246,995,76.539,19.5,1.398,170.705,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.005,300.0,0,-100.0,3807,1132,2675,29.735,100.405,0.987,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.008,300.0,2317.5,672.5,4241,1718,2523,40.509,31.924,1.059,27.599,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.01,300.0,2961.0,887.0,4241,1937,2304,45.673,37.484,1.07,36.402,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.015,300.0,5458.081,1719.36,4241,2376,1865,56.025,28.387,1.115,70.562,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.02,300.0,8015.581,2571.86,4241,2691,1550,63.452,27.053,1.158,105.548,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.02,0.005,300.0,0,-100.0,705,161,544,22.837,101.437,0.937,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.02,0.008,300.0,0,-100.0,2418,770,1648,31.844,100.263,0.986,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.02,0.01,300.0,0,-100.0,2394,871,1523,36.383,100.641,0.988,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.02,0.015,300.0,0,-100.0,2463,1120,1343,45.473,100.748,0.99,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.02,0.02,300.0,2458.081,719.36,4241,2262,1979,53.336,87.186,1.035,29.522,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.03,0.005,300.0,0,-100.0,110,13,97,11.818,102.242,0.648,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.03,0.008,300.0,0,-100.0,702,161,541,22.934,100.0,0.959,-4.104,4388
SOL-USDT-SWAP,30m,4H,0.0025,0.03,0.01,300.0,0,-100.0,673,180,493,26.746,100.459,0.963,-4.104,4388
