mode,pair,signal_bar,float_pct,tp_pct,sl_pct,ret_0bp,mdd_0bp,ret_10bp,mdd_10bp,ret_30bp,mdd_30bp,ret_50bp,mdd_50bp
fade,BTC-USDT-SWAP,6H,0.007,0.006,0.03,295485.3,31.0,189036.0,32.0,-27.3,98.0,-100.0,100.0
fade,BTC-USDT-SWAP,6H,0.007,0.008,0.02,240445.4,37.6,132095.0,39.2,-99.9,100.0,-100.0,100.0
fade,BTC-USDT-SWAP,6H,0.007,0.008,0.03,303688.6,31.3,195519.8,32.5,-47.4,99.5,-100.0,100.0
reversal,ETH-USDT-SWAP,4H,0.007,0.006,0.03,398026.4,31.3,258483.3,32.3,-63.4,97.4,-100.0,100.0
fade,ETH-USDT-SWAP,4H,0.01,0.008,0.025,434726.1,32.1,296210.6,34.5,194.3,98.1,-100.0,100.0
fade,ETH-USDT-SWAP,4H,0.01,0.01,0.025,457906.6,32.1,319139.4,33.8,536.7,98.4,-100.0,100.0
fade,ETH-USDT-SWAP,4H,0.01,0.01,0.03,461903.1,36.7,322686.6,39.3,414.2,96.8,-100.0,100.0
reversal,ETH-USDT-SWAP,6H,0.007,0.008,0.025,353278.3,30.9,245179.6,38.8,1916.7,96.5,-100.0,100.0
fade,ETH-USDT-SWAP,6H,0.007,0.01,0.025,533501.9,31.5,386020.2,39.5,74128.9,94.5,-100.0,100.0
reversal,ETH-USDT-SWAP,12H,0.01,0.008,0.025,158894.4,28.2,103145.0,38.0,326.8,93.4,-100.0,100.0
fade,SOL-USDT-SWAP,6H,0.005,0.006,0.03,611272.1,31.0,420275.7,32.0,34455.3,73.1,-100.0,100.0
fade,SOL-USDT-SWAP,6H,0.005,0.008,0.03,720956.1,31.0,529646.0,32.0,144398.2,68.1,-100.0,100.0
fade,SOL-USDT-SWAP,6H,0.01,0.01,0.03,639645.8,35.2,506041.6,36.8,238639.4,40.0,-99.4,100.0
