pair,mode,signal_bar,float_pct,tp_pct,sl_pct,confirm,min_amp,max_amp,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,reversal,4H,0.001,0.006,0.01,1,0.0,10.0,148.0,0.0,-100.0,1832,951,881,51.91,100.0,0.692,-5.474,3289,0.61,-99.59,0.0,-100.0,0.0,-21.42
BTC-USDT-SWAP,reversal,4H,0.001,0.006,0.015,1,0.0,10.0,148.0,0.0,-100.0,1832,997,835,54.42,100.0,0.836,-5.474,3289,4.24,-97.13,0.0,-100.0,0.0,-25.9
BTC-USDT-SWAP,reversal,4H,0.001,0.006,0.02,1,0.0,10.0,148.0,0.0,-100.0,1832,1007,825,54.97,100.0,0.795,-5.474,3289,5.56,-96.24,0.0,-100.0,0.0,-24.16
BTC-USDT-SWAP,reversal,4H,0.001,0.006,0.025,1,0.0,10.0,148.0,0.0,-100.0,1832,1007,825,54.97,100.0,0.809,-5.474,3289,5.9,-96.02,0.0,-100.0,0.0,-24.16
BTC-USDT-SWAP,reversal,4H,0.001,0.006,0.03,1,0.0,10.0,148.0,0.0,-100.0,1832,1009,823,55.08,100.0,0.829,-5.474,3289,7.04,-95.24,0.0,-100.0,0.0,-24.16
BTC-USDT-SWAP,reversal,4H,0.001,0.008,0.01,1,0.0,10.0,148.0,0.0,-100.0,1832,814,1018,44.43,100.0,0.667,-5.474,3289,0.04,-99.97,0.0,-100.0,0.0,-23.21
BTC-USDT-SWAP,reversal,4H,0.001,0.008,0.015,1,0.0,10.0,148.0,0.0,-100.0,1832,857,975,46.78,100.0,0.736,-5.474,3289,0.31,-99.79,0.0,-100.0,0.0,-27.58
BTC-USDT-SWAP,reversal,4H,0.001,0.008,0.02,1,0.0,10.0,148.0,0.0,-100.0,1832,867,965,47.33,100.0,0.664,-5.474,3289,0.38,-99.74,0.0,-100.0,0.0,-25.88
BTC-USDT-SWAP,reversal,4H,0.001,0.008,0.025,1,0.0,10.0,148.0,0.0,-100.0,1832,867,965,47.33,100.0,0.642,-5.474,3289,0.35,-99.77,0.0,-100.0,0.0,-25.88
BTC-USDT-SWAP,reversal,4H,0.001,0.008,0.03,1,0.0,10.0,148.0,0.0,-100.0,1832,869,963,47.43,100.0,0.693,-5.474,3289,0.46,-99.69,0.0,-100.0,0.0,-25.88
BTC-USDT-SWAP,reversal,4H,0.001,0.01,0.01,1,0.0,10.0,148.0,0.0,-100.0,1832,750,1082,40.94,100.0,0.671,-5.474,3289,0.02,-99.99,0.0,-100.0,0.0,-33.25
BTC-USDT-SWAP,reversal,4H,0.001,0.01,0.015,1,0.0,10.0,148.0,0.0,-100.0,1832,791,1041,43.18,100.0,0.748,-5.474,3289,0.12,-99.92,0.0,-100.0,0.0,-37.05
BTC-USDT-SWAP,reversal,4H,0.001,0.01,0.02,1,0.0,10.0,148.0,0.0,-100.0,1832,799,1033,43.61,100.0,0.669,-5.474,3289,0.09,-99.94,0.0,-100.0,0.0,-35.57
BTC-USDT-SWAP,reversal,4H,0.001,0.01,0.025,1,0.0,10.0,148.0,0.0,-100.0,1832,799,1033,43.61,100.0,0.641,-5.474,3289,0.06,-99.96,0.0,-100.0,0.0,-35.57
BTC-USDT-SWAP,reversal,4H,0.001,0.01,0.03,1,0.0,10.0,148.0,0.0,-100.0,1832,801,1031,43.72,100.0,0.688,-5.474,3289,0.07,-99.95,0.0,-100.0,0.0,-35.57
BTC-USDT-SWAP,reversal,4H,0.001,0.015,0.01,1,0.0,10.0,148.0,0.0,-100.0,1832,685,1147,37.39,100.0,0.603,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-30.15
BTC-USDT-SWAP,reversal,4H,0.001,0.015,0.015,1,0.0,10.0,148.0,0.0,-100.0,1832,723,1109,39.47,100.0,0.67,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-34.14
BTC-USDT-SWAP,reversal,4H,0.001,0.015,0.02,1,0.0,10.0,148.0,0.0,-100.0,1832,732,1100,39.96,100.0,0.588,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-32.59
BTC-USDT-SWAP,reversal,4H,0.001,0.015,0.025,1,0.0,10.0,148.0,0.0,-100.0,1832,734,1098,40.07,100.0,0.56,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-32.59
BTC-USDT-SWAP,reversal,4H,0.001,0.015,0.03,1,0.0,10.0,148.0,0.0,-100.0,1832,735,1097,40.12,100.0,0.602,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-32.59
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.01,1,0.0,10.0,148.0,0.0,-100.0,1832,671,1161,36.63,100.0,0.602,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-35.18
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.015,1,0.0,10.0,148.0,0.0,-100.0,1832,705,1127,38.48,100.0,0.648,-5.474,3289,0.01,-99.99,0.0,-100.0,0.0,-38.87
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.02,1,0.0,10.0,148.0,0.0,-100.0,1832,713,1119,38.92,100.0,0.566,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-37.44
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.025,1,0.0,10.0,148.0,0.0,-100.0,1832,716,1116,39.08,100.0,0.567,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-37.44
BTC-USDT-SWAP,reversal,4H,0.001,0.02,0.03,1,0.0,10.0,148.0,0.0,-100.0,1832,717,1115,39.14,100.0,0.608,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-37.44
BTC-USDT-SWAP,reversal,4H,0.001,0.03,0.01,1,0.0,10.0,148.0,0.0,-100.0,1832,668,1164,36.46,100.0,0.591,-5.474,3289,0.0,-100.0,0.0,-100.0,0.0,-35.18
