mode,pair,signal_bar,float_pct,tp_pct,sl_pct,total_return_pct_tr,max_dd_pct_tr,monthly_pct_tr,trades_tr,total_return_pct_te,max_dd_pct_te,monthly_pct_te,trades_te,win_rate_pct,total_return_pct_full,max_dd_pct_full,win_rate_pct_full,trades_full,profit_factor_full,y2024_pnl_pct_full,y2025_pnl_pct_full,y2026_pnl_pct_full,pf_full
fade,BTC-USDT-SWAP,6H,0.007,0.006,0.03,125291.69,32.0,6834.092,792,23391.79,33.75,3834.72,259,88.8,189036.0,32.0,85.63,1051,2.615,45260.49,172.72,52.89,2.615
fade,BTC-USDT-SWAP,6H,0.007,0.008,0.02,67245.3,39.16,3667.925,792,23437.73,34.99,3842.251,259,77.22,132095.02,39.16,73.64,1051,1.621,24833.99,169.56,96.68,1.621
fade,BTC-USDT-SWAP,6H,0.007,0.008,0.03,124795.53,32.46,6807.029,792,28615.65,32.48,4691.09,259,78.38,195519.85,32.46,75.74,1051,2.031,48290.65,157.82,56.79,2.031
reversal,ETH-USDT-SWAP,4H,0.007,0.006,0.03,186194.16,32.3,10193.111,1074,31078.05,42.37,5094.762,293,89.08,258483.33,32.3,88.22,1367,2.68,45150.66,307.45,40.25,2.68
fade,ETH-USDT-SWAP,4H,0.01,0.008,0.025,222685.43,34.53,12190.808,1046,26955.44,43.51,4418.924,308,79.87,296210.65,34.53,81.02,1354,2.051,57706.39,281.86,34.24,2.051
fade,ETH-USDT-SWAP,4H,0.01,0.01,0.025,228559.0,33.79,12512.354,1046,44331.54,43.86,7267.466,308,75.0,319139.39,33.79,74.15,1354,1.909,66369.84,240.49,41.06,1.909
fade,ETH-USDT-SWAP,4H,0.01,0.01,0.03,238927.7,39.29,13079.983,1046,34861.69,51.29,5715.032,308,75.0,322686.59,39.29,74.67,1354,1.921,66226.42,256.86,36.38,1.921
reversal,ETH-USDT-SWAP,6H,0.007,0.008,0.025,172806.41,38.79,9425.804,814,28787.44,52.92,4719.252,229,88.65,245179.55,38.79,85.91,1043,2.149,38993.98,331.27,45.48,2.149
fade,ETH-USDT-SWAP,6H,0.007,0.01,0.025,298174.49,39.54,16264.063,1117,39690.86,52.92,6506.698,329,79.03,386020.25,39.54,78.35,1446,1.995,98195.57,199.23,31.28,1.995
reversal,ETH-USDT-SWAP,12H,0.01,0.008,0.025,55540.06,37.99,3029.458,397,6159.65,50.89,1009.779,127,91.34,103144.99,37.99,88.36,524,2.006,3816.83,1271.08,92.25,2.006
fade,SOL-USDT-SWAP,6H,0.005,0.006,0.03,329835.19,32.0,17991.01,1457,45258.43,39.03,7419.414,429,90.44,420275.74,32.0,91.78,1886,2.839,114686.22,183.96,28.97,2.839
fade,SOL-USDT-SWAP,6H,0.005,0.008,0.03,423971.09,32.0,23125.696,1457,58387.05,42.09,9571.648,429,81.59,529646.01,32.0,84.46,1886,2.474,144242.45,191.61,25.85,2.474
fade,SOL-USDT-SWAP,6H,0.01,0.01,0.03,400802.93,36.85,21861.978,1033,54857.35,53.76,8993.009,286,80.77,506041.55,36.85,82.71,1319,2.741,153195.65,159.7,27.14,2.741
