pair,signal_bar,float_pct,tp_pct,sl_pct,ret_0bp,mdd_0bp,ret_10bp,mdd_10bp,ret_30bp,mdd_30bp,ret_50bp,mdd_50bp,pass_30bp
BTC-USDT-SWAP,1H,0.01,0.004,0.025,1914.8,20.3,127.2,31.4,-97.3,97.3,-100.0,100.0,False
BTC-USDT-SWAP,1H,0.01,0.004,0.03,1914.8,20.3,127.2,31.4,-97.3,97.3,-100.0,100.0,False
BTC-USDT-SWAP,4H,0.007,0.004,0.015,32022.6,27.6,1915.8,39.3,-98.9,98.9,-100.0,100.0,False
BTC-USDT-SWAP,4H,0.007,0.004,0.03,50776.1,16.3,12562.3,39.3,-92.6,92.6,-100.0,100.0,False
BTC-USDT-SWAP,4H,0.01,0.006,0.008,13194.5,27.3,1117.0,38.9,-91.0,92.2,-99.9,99.9,False
BTC-USDT-SWAP,6H,0.003,0.004,0.03,90845.1,31.0,30635.3,35.3,-99.4,99.4,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.004,0.004,0.03,80328.2,31.3,28960.1,35.6,-97.3,97.3,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.004,0.006,0.03,123259.1,31.0,70024.0,32.3,25.1,85.5,-100.0,100.0,True
BTC-USDT-SWAP,6H,0.005,0.004,0.03,67140.1,31.0,22283.1,34.9,-95.1,95.1,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.005,0.006,0.025,97358.5,37.9,51881.5,39.4,-14.5,77.1,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.007,0.004,0.025,35921.8,26.1,4249.3,29.3,-95.2,95.2,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.007,0.004,0.03,45404.8,31.1,10925.7,34.1,-87.7,87.7,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.007,0.006,0.025,78085.4,26.0,42230.1,27.9,163.2,67.9,-99.7,99.7,True
BTC-USDT-SWAP,6H,0.007,0.008,0.03,103665.7,22.5,68936.1,34.2,2431.8,72.3,-97.3,97.6,True
BTC-USDT-SWAP,6H,0.01,0.006,0.008,5818.9,24.6,461.6,36.5,-95.3,96.1,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.01,0.006,0.01,7113.6,26.0,585.4,37.7,-94.2,95.1,-100.0,100.0,False
BTC-USDT-SWAP,6H,0.01,0.006,0.015,26839.0,25.9,4598.4,30.4,-58.9,75.9,-99.7,99.7,False
BTC-USDT-SWAP,6H,0.01,0.008,0.008,14888.8,25.1,1430.9,36.1,-86.9,92.8,-99.9,99.9,False
BTC-USDT-SWAP,12H,0.003,0.004,0.02,31281.3,31.2,2700.1,36.8,-96.5,96.5,-100.0,100.0,False
BTC-USDT-SWAP,12H,0.003,0.004,0.025,31144.1,35.5,2572.4,39.9,-96.7,96.7,-100.0,100.0,False
BTC-USDT-SWAP,12H,0.007,0.004,0.015,4465.9,29.4,336.9,31.1,-96.3,96.3,-100.0,100.0,False
BTC-USDT-SWAP,12H,0.007,0.004,0.02,9573.7,21.6,824.9,22.6,-92.0,92.0,-99.9,99.9,False
BTC-USDT-SWAP,12H,0.007,0.004,0.025,7182.2,26.0,599.6,27.0,-94.0,94.0,-100.0,100.0,False
BTC-USDT-SWAP,12H,0.007,0.004,0.03,12002.9,31.0,1004.0,32.0,-90.4,90.4,-99.9,99.9,False
BTC-USDT-SWAP,12H,0.007,0.006,0.015,23089.3,31.7,3119.6,37.3,-71.5,84.6,-99.8,99.8,False
BTC-USDT-SWAP,12H,0.007,0.006,0.03,34718.9,38.2,10237.6,39.8,-11.6,67.8,-99.3,99.3,False
BTC-USDT-SWAP,12H,0.01,0.004,0.015,3067.9,29.7,430.9,31.4,-85.9,85.9,-99.7,99.7,False
BTC-USDT-SWAP,12H,0.01,0.004,0.025,2551.1,26.0,342.9,29.3,-88.3,88.3,-99.7,99.7,False
BTC-USDT-SWAP,12H,0.01,0.004,0.03,2891.4,31.0,400.3,34.2,-86.7,86.7,-99.7,99.7,False
BTC-USDT-SWAP,12H,0.01,0.006,0.01,5265.9,29.7,802.7,32.8,-75.8,82.0,-99.4,99.4,False
BTC-USDT-SWAP,12H,0.01,0.006,0.02,20033.8,37.8,4156.7,39.4,17.7,57.9,-97.0,97.0,True
BTC-USDT-SWAP,12H,0.01,0.006,0.03,22525.5,36.1,5282.0,37.7,49.3,54.2,-96.2,96.2,True
BTC-USDT-SWAP,12H,0.01,0.008,0.01,11853.6,33.1,1927.2,39.1,-44.9,85.9,-98.6,99.0,False
