pair,signal_bar,float_pct,tp_pct,sl_pct,total_return_pct_tr,max_dd_pct_tr,win_rate_pct_tr,trades_tr,profit_factor_tr,monthly_pct_tr,total_return_pct_te,max_dd_pct_te,win_rate_pct_te,trades_te,profit_factor_te,monthly_pct_te,total_return_pct_full,max_dd_pct_full,win_rate_pct_full,trades_full,profit_factor_full,y2024_pnl_pct_full,y2025_pnl_pct_full,y2026_pnl_pct_full
BTC-USDT-SWAP,1H,0.01,0.004,0.025,60.132,31.352,78.916,166,1.227,3.298,41.878,15.249,81.481,54,1.74,6.865,127.191,31.352,79.545,220,1.358,3.79,51.26,44.72
BTC-USDT-SWAP,1H,0.01,0.004,0.03,60.132,31.352,78.916,166,1.227,3.298,41.878,15.249,81.481,54,1.74,6.865,127.191,31.352,79.545,220,1.358,3.79,51.26,44.72
BTC-USDT-SWAP,4H,0.007,0.004,0.015,781.403,39.251,87.018,285,1.696,42.778,128.706,17.0,92.135,89,2.081,21.099,1915.819,39.251,88.235,374,1.882,331.67,95.04,139.43
BTC-USDT-SWAP,4H,0.007,0.004,0.03,2935.174,39.251,89.123,285,2.229,160.685,324.466,10.353,95.506,89,5.812,53.191,12562.306,39.251,90.642,374,4.003,700.69,262.1,336.74
BTC-USDT-SWAP,4H,0.01,0.006,0.008,387.939,38.908,72.872,188,1.41,21.238,149.41,20.543,80.702,57,2.212,24.493,1116.97,38.908,74.694,245,1.721,145.23,98.97,149.41
BTC-USDT-SWAP,6H,0.003,0.004,0.03,7057.598,35.344,88.532,436,3.186,384.96,928.656,18.948,94.079,152,9.429,152.239,30635.349,35.344,89.966,588,5.049,758.39,757.27,317.67
BTC-USDT-SWAP,6H,0.004,0.004,0.03,6755.064,35.609,91.489,376,3.411,368.458,823.204,17.936,96.899,129,19.832,134.952,28960.071,35.609,92.871,505,6.771,654.74,772.99,341.05
BTC-USDT-SWAP,6H,0.004,0.006,0.03,32162.036,32.3,81.383,376,2.054,1754.293,3609.397,17.936,89.147,129,6.329,591.704,70024.044,32.3,83.366,505,2.865,2900.72,984.2,115.54
BTC-USDT-SWAP,6H,0.005,0.004,0.03,4555.141,34.877,91.049,324,3.887,248.462,615.857,8.328,95.763,118,6.839,100.96,22283.108,34.877,92.308,442,6.543,446.45,746.8,383.71
BTC-USDT-SWAP,6H,0.005,0.006,0.025,18499.143,39.426,82.099,324,3.439,1009.044,2305.716,18.995,89.831,118,4.428,377.986,51881.507,39.426,84.163,442,4.481,812.73,1945.3,178.45
BTC-USDT-SWAP,6H,0.007,0.004,0.025,772.491,29.293,92.8,250,2.188,42.136,398.489,5.946,96.703,91,10.038,65.326,4249.271,29.293,93.842,341,5.106,184.55,201.49,406.96
BTC-USDT-SWAP,6H,0.007,0.004,0.03,2117.068,34.136,94.0,250,2.701,115.476,398.489,5.946,96.703,91,10.038,65.326,10925.677,34.136,94.721,341,5.973,455.55,292.41,405.76
BTC-USDT-SWAP,6H,0.007,0.006,0.025,12744.358,27.907,86.0,250,2.606,695.147,1595.115,12.732,91.209,91,4.667,261.494,42230.101,27.907,87.39,341,4.573,1006.4,1055.31,231.16
BTC-USDT-SWAP,6H,0.007,0.008,0.03,31378.645,34.213,79.6,250,2.091,1711.562,3359.003,20.604,84.615,91,3.449,550.656,68936.09,34.213,80.938,341,2.887,3419.98,792.52,119.74
BTC-USDT-SWAP,6H,0.01,0.006,0.008,173.196,35.827,73.563,174,1.303,9.447,105.581,36.493,79.688,64,1.818,17.308,461.638,36.493,75.21,238,1.499,79.84,51.91,105.58
BTC-USDT-SWAP,6H,0.01,0.006,0.01,261.241,37.723,77.011,174,1.473,14.25,89.733,37.301,81.25,64,1.639,14.71,585.393,37.723,78.151,238,1.553,91.12,89.02,89.73
BTC-USDT-SWAP,6H,0.01,0.006,0.015,1367.575,30.433,83.908,174,2.352,74.595,220.15,22.508,87.5,64,2.69,36.09,4598.443,30.433,84.874,238,2.573,288.67,277.59,220.15
BTC-USDT-SWAP,6H,0.01,0.008,0.008,372.16,36.118,63.793,174,1.342,20.3,224.234,28.713,75.0,64,2.127,36.76,1430.907,36.118,66.807,238,1.705,151.86,87.47,224.23
BTC-USDT-SWAP,12H,0.003,0.004,0.02,914.047,36.827,91.27,252,1.818,49.857,176.134,22.0,96.341,82,2.542,28.875,2700.133,36.827,92.515,334,2.187,312.75,145.68,176.13
BTC-USDT-SWAP,12H,0.003,0.004,0.025,1004.9,39.906,91.667,252,1.872,54.813,141.867,27.0,96.341,82,2.069,23.257,2572.393,39.906,92.814,334,1.982,286.29,186.03,141.87
BTC-USDT-SWAP,12H,0.007,0.004,0.015,223.081,30.342,91.573,178,1.407,12.168,35.24,31.11,91.525,59,1.35,5.777,336.935,31.11,91.561,237,1.386,138.46,35.49,35.24
BTC-USDT-SWAP,12H,0.007,0.004,0.02,474.759,22.6,93.82,178,1.893,25.896,60.923,22.0,93.22,59,1.65,9.987,824.919,22.6,93.671,237,1.77,175.39,108.71,60.92
BTC-USDT-SWAP,12H,0.007,0.004,0.025,396.324,27.0,93.82,178,1.81,21.618,40.953,27.0,93.22,59,1.385,6.714,599.584,27.0,93.671,237,1.589,157.74,92.57,40.95
BTC-USDT-SWAP,12H,0.007,0.004,0.03,501.748,32.0,94.382,178,1.944,27.368,83.459,32.0,94.915,59,1.813,13.682,1003.959,32.0,94.515,237,1.874,140.08,150.64,83.46
BTC-USDT-SWAP,12H,0.007,0.006,0.015,863.198,37.271,82.584,178,1.439,47.084,234.264,31.11,88.136,59,2.169,38.404,3119.623,37.271,83.966,237,1.801,331.55,123.19,234.26
BTC-USDT-SWAP,12H,0.007,0.006,0.03,2490.243,39.769,85.955,178,2.277,135.831,277.754,32.0,89.831,59,2.129,45.533,10237.632,39.769,86.92,237,2.321,343.14,484.51,299.1
BTC-USDT-SWAP,12H,0.01,0.004,0.015,288.504,31.359,91.791,134,2.396,15.737,36.66,31.11,93.617,47,1.522,6.01,430.93,31.359,92.265,181,1.898,101.29,93.01,36.66
BTC-USDT-SWAP,12H,0.01,0.004,0.025,240.957,29.316,92.537,134,2.101,13.143,29.913,27.0,95.745,47,1.357,4.904,342.948,29.316,93.37,181,1.68,77.04,92.59,29.91
BTC-USDT-SWAP,12H,0.01,0.004,0.03,195.85,34.157,92.537,134,1.872,10.683,69.09,32.0,97.872,47,1.94,11.326,400.251,34.157,93.923,181,1.906,64.91,79.4,69.09
BTC-USDT-SWAP,12H,0.01,0.006,0.01,343.207,32.772,79.104,134,1.574,18.72,103.678,23.344,82.979,47,1.75,16.996,802.714,32.772,80.11,181,1.663,122.54,99.16,103.68
BTC-USDT-SWAP,12H,0.01,0.006,0.02,1383.189,39.394,87.313,134,2.429,75.447,186.994,22.0,89.362,47,2.479,30.655,4156.667,39.394,87.845,181,2.462,284.79,285.46,186.99
BTC-USDT-SWAP,12H,0.01,0.006,0.03,1513.31,37.727,88.06,134,2.606,82.544,233.6,32.0,91.489,47,2.539,38.295,5282.002,37.727,88.95,181,2.558,235.45,380.93,233.6
BTC-USDT-SWAP,12H,0.01,0.008,0.01,419.298,39.093,70.149,134,1.497,22.871,290.375,22.56,82.979,47,2.379,47.602,1927.211,39.093,73.481,181,1.995,172.12,90.83,290.38
BTC-USDT-SWAP,12H,0.01,0.008,0.015,1920.227,38.648,77.612,134,2.199,104.74,356.271,31.11,85.106,47,2.864,58.405,9117.712,38.648,79.558,181,2.669,479.08,248.87,356.27
BTC-USDT-SWAP,1D,0.004,0.004,0.025,447.393,28.701,97.778,135,3.118,24.403,49.757,27.6,97.368,38,2.773,8.157,719.758,28.701,97.688,173,2.972,79.92,204.24,49.76
